wall_ts,node,seq,sample_index,value
1778045168.971275,1,577,0,65535
1778045168.971275,1,577,1,65535
1778045168.971275,1,577,2,65535
1778045168.971275,1,577,3,65535
1778045168.971275,1,577,4,65535
1778045168.971275,1,577,5,65535
1778045168.971275,1,577,6,65535
1778045168.971275,1,577,7,65535
1778045168.971275,1,577,8,65535
1778045168.971275,1,577,9,65535
1778045168.971275,1,577,10,65535
1778045168.971275,1,577,11,65535
1778045168.971275,1,577,12,65535
1778045168.971275,1,577,13,65535
1778045168.971275,1,577,14,65535
1778045168.971275,1,577,15,65535
1778045168.971275,1,577,16,65535
1778045168.971275,1,577,17,65535
1778045168.971275,1,577,18,65535
1778045168.971275,1,577,19,65535
1778045168.971275,1,577,20,65535
1778045168.971275,1,577,21,65535
1778045168.971275,1,577,22,65535
1778045168.971275,1,577,23,65535
1778045168.971275,1,577,24,65535
1778045168.971275,1,577,25,65535
1778045168.971275,1,577,26,65535
1778045168.971275,1,577,27,65535
1778045168.971275,1,577,28,65535
1778045168.971275,1,577,29,65535
1778045168.971275,1,577,30,65535
1778045168.971275,1,577,31,65535
1778045169.0756311,1,578,0,65535
1778045169.0756311,1,578,1,65535
1778045169.0756311,1,578,2,65535
1778045169.0756311,1,578,3,65535
1778045169.0756311,1,578,4,65535
1778045169.0756311,1,578,5,65535
1778045169.0756311,1,578,6,65535
1778045169.0756311,1,578,7,65535
1778045169.0756311,1,578,8,65535
1778045169.0756311,1,578,9,65535
1778045169.0756311,1,578,10,65535
1778045169.0756311,1,578,11,65535
1778045169.0756311,1,578,12,65535
1778045169.0756311,1,578,13,65535
1778045169.0756311,1,578,14,65535
1778045169.0756311,1,578,15,65535
1778045169.0756311,1,578,16,65535
1778045169.0756311,1,578,17,65535
1778045169.0756311,1,578,18,65535
1778045169.0756311,1,578,19,65535
1778045169.0756311,1,578,20,65535
1778045169.0756311,1,578,21,65535
1778045169.0756311,1,578,22,65535
1778045169.0756311,1,578,23,65535
1778045169.0756311,1,578,24,65535
1778045169.0756311,1,578,25,65535
1778045169.0756311,1,578,26,65535
1778045169.0756311,1,578,27,65535
1778045169.0756311,1,578,28,65535
1778045169.0756311,1,578,29,65535
1778045169.0756311,1,578,30,65535
1778045169.0756311,1,578,31,65535
1778045169.181893,1,579,0,65535
1778045169.181893,1,579,1,65535
1778045169.181893,1,579,2,65535
1778045169.181893,1,579,3,65535
1778045169.181893,1,579,4,65535
1778045169.181893,1,579,5,65535
1778045169.181893,1,579,6,65535
1778045169.181893,1,579,7,65535
1778045169.181893,1,579,8,65535
1778045169.181893,1,579,9,65535
1778045169.181893,1,579,10,65535
1778045169.181893,1,579,11,65535
1778045169.181893,1,579,12,65535
1778045169.181893,1,579,13,65535
1778045169.181893,1,579,14,65535
1778045169.181893,1,579,15,65535
1778045169.181893,1,579,16,65535
1778045169.181893,1,579,17,65535
1778045169.181893,1,579,18,65535
1778045169.181893,1,579,19,65535
1778045169.181893,1,579,20,65535
1778045169.181893,1,579,21,65535
1778045169.181893,1,579,22,65535
1778045169.181893,1,579,23,65535
1778045169.181893,1,579,24,65535
1778045169.181893,1,579,25,65535
1778045169.181893,1,579,26,65535
1778045169.181893,1,579,27,65535
1778045169.181893,1,579,28,65535
1778045169.181893,1,579,29,65535
1778045169.181893,1,579,30,65535
1778045169.181893,1,579,31,65535
1778045169.387069,1,580,0,65535
1778045169.387069,1,580,1,65535
1778045169.387069,1,580,2,65535
1778045169.387069,1,580,3,65535
1778045169.387069,1,580,4,65535
1778045169.387069,1,580,5,65535
1778045169.387069,1,580,6,65535
1778045169.387069,1,580,7,65535
1778045169.387069,1,580,8,65535
1778045169.387069,1,580,9,65535
1778045169.387069,1,580,10,65535
1778045169.387069,1,580,11,65535
1778045169.387069,1,580,12,65535
1778045169.387069,1,580,13,65535
1778045169.387069,1,580,14,65535
1778045169.387069,1,580,15,65535
1778045169.387069,1,580,16,65535
1778045169.387069,1,580,17,65535
1778045169.387069,1,580,18,65535
1778045169.387069,1,580,19,65535
1778045169.387069,1,580,20,65535
1778045169.387069,1,580,21,65535
1778045169.387069,1,580,22,65535
1778045169.387069,1,580,23,65535
1778045169.387069,1,580,24,65535
